sample,depth
06_18-Ray-GS-b3,69145
06_18-Ray-G-c5,61631
06_18-Fro-GS-a1,60889
05_07_18-SenV-a7,60785
05_07_18-Ger-a5,60607
05_07_18-OrgeS-a5,59688
05_07_18-Patur-a5,57537
03_18-Soi-S-b2,57226
05_07_18-Patur-a6,55949
05_07_18-Patur-a4,55573
06_18-Fro-GS-c3,54718
05_07_18-Patur-a3,54237
06_18-Fro-G-b3,53765
05_07_18-SenV-a4,53562
05_07_18-Patur-a7,53072
06_18-Ray-GS-c5,50818
05_07_18-OrgeS-a4,50788
06_18-Ray-GS-a3,49560
05_07_18-Ger-a4,48918
06_18-Fro-GS-c4,48397
06_18-Fro-GS-a3,48191
06_18-Ray-G-b5,46996
06_18-Cel-S-c2,46903
06_18-Ray-G-a2,46325
06_18-Ray-G-c4,46181
06_18-Ray-GS-c4,45721
06_18-Ray-G-a5,45653
05_07_18-Ger-a3,44876
06_18-Fro-GS-b1,44748
05_07_18-PLaL-a3,44554
06_18-Soi-GS-c2,43645
06_18-Fro-GS-b3,43282
06_18-Ray-G-b3,43272
05_07_18-Ger-a2,42276
06_18-Cel-GS-c5,41916
06_18-Apa-GS-c2,41817
05_07_18-OrgeS-a6,41604
03_18-Soi-S-c3,40997
06_18-Fro-G-a5,40200
06_18-Fro-G-a2,40066
06_18-Fro-GS-a5,39731
06_18-Apa-S-c3,39363
06_18-Soi-GS-c3,39140
06_18-Apa-GS-c5,38829
06_18-Apa-GS-c3,38652
05_07_18-SenV-a5,38370
05_07_18-SenV-a2,38149
06_18-Fro-G-c3,37825
05_07_18-OrgeS-a3,37731
06_18-Apa-GS-c4,37699
06_18-Soi-S-b1,37334
06_18-Cel-S-c5,36709
06_18-Cel-GS-c1,36116
06_18-Fro-GS-a2,35782
06_18-Cel-S-b1,35380
06_18-Soi-S-c4,35344
06_18-Soi-GS-c4,35277
05_18-Apa-S-c4,35114
05_07_18-PLaL-a7,35084
05_07_18-Patur-a2,34932
06_18-Cel-S-c3,34519
06_18-Ray-GS-a2,33981
05_07_18-PLaL-a6,33977
05_07_18-OrgeS-a7,33896
06_18-Cel-S-a2,33856
03_18-Soi-GS-c3,33592
06_18-Ray-GS-a4,33494
06_18-Soi-S-b2,33116
06_18-Cel-S-b4,32648
03_18-Apa-S-b1,31967
06_18-Cel-S-b5,31884
06_18-Ray-GS-c2,31870
06_18-Apa-GS-a1,31825
03_18-Soi-S-c4,31426
06_18-Fro-G-a4,31403
06_18-Cel-GS-c3,31250
06_18-Ray-G-a3,30939
06_18-Cel-S-c4,30164
06_18-Apa-GS-c1,29830
06_18-Ray-GS-a5,29600
06_18-Cel-GS-c4,29565
06_18-Fro-G-a3,28658
06_18-Apa-S-a1,28648
06_18-Cel-S-a4,28025
03_18-Soi-GS-c4,27694
03_18-Cel-S-c2,27476
06_18-Apa-GS-a2,27237
06_18-Cel-GS-c2,27210
06_18-Soi-GS-c1,27089
03_18-Cel-S-b2,26646
06_18-Ray-GS-b5,26556
06_18-Apa-S-b3,26457
03_18-Cel-S-c4,25315
06_18-Apa-S-a2,25242
05_18-Apa-S-b2,24905
06_18-Ray-GS-c3,24903
06_18-Cel-GS-b3,24796
06_18-Cel-GS-b2,24686
06_18-Apa-S-a3,24550
05_07_18-PLaL-a2,24365
