"Species1","Species2","Interaction_Type","Compression_Value","Interaction_Strength","Direction","Timestamp"
"9","0","Commensalism",2269,"Weak","Negative",2025-08-17 05:51:02.357474
"9","10","Commensalism",2394,"Weak","Negative",2025-08-17 05:51:02.357474
"9","12","Commensalism",2334,"Weak","Negative",2025-08-17 05:51:02.357474
"9","13","Amensalism",2377,"Weak","Negative",2025-08-17 05:51:02.357474
"9","14","Amensalism",2358,"Weak","Negative",2025-08-17 05:51:02.357474
"9","16","Amensalism",2161,"Weak","Negative",2025-08-17 05:51:02.357474
"9","1","Commensalism",2305,"Weak","Negative",2025-08-17 05:51:02.357474
"9","2","Commensalism",2269,"Weak","Negative",2025-08-17 05:51:02.357474
"9","3","Commensalism",2334,"Weak","Negative",2025-08-17 05:51:02.357474
"9","4","Amensalism",2394,"Weak","Negative",2025-08-17 05:51:02.357474
"9","5","Commensalism",2334,"Weak","Negative",2025-08-17 05:51:02.357474
"9","7","Commensalism",2377,"Weak","Negative",2025-08-17 05:51:02.357474
"9","8","Amensalism",2408,"Medium","Negative",2025-08-17 05:51:02.357474
"10","0","Commensalism",2421,"Medium","Negative",2025-08-17 05:51:02.357474
"10","12","Commensalism",2464,"Medium","Negative",2025-08-17 05:51:02.357474
"10","14","Amensalism",2408,"Medium","Negative",2025-08-17 05:51:02.357474
"10","15","Commensalism",2394,"Weak","Negative",2025-08-17 05:51:02.357474
"10","1","Commensalism",2441,"Medium","Negative",2025-08-17 05:51:02.357474
"10","3","Commensalism",2464,"Medium","Negative",2025-08-17 05:51:02.357474
"10","4","Amensalism",2476,"Medium","Negative",2025-08-17 05:51:02.357474
"10","5","Commensalism",2457,"Medium","Negative",2025-08-17 05:51:02.357474
"10","7","Commensalism",2485,"Strong","Negative",2025-08-17 05:51:02.357474
"10","8","Amensalism",2457,"Medium","Negative",2025-08-17 05:51:02.357474
"12","11","Amensalism",2497,"Strong","Negative",2025-08-17 05:51:02.357474
"12","14","Amensalism",2504,"Strong","Negative",2025-08-17 05:51:02.357474
"15","0","Commensalism",2431,"Medium","Negative",2025-08-17 05:51:02.357474
"15","9","Mutualism",2481,"Strong","Negative",2025-08-17 05:51:02.357474
"15","13","Amensalism",2485,"Strong","Negative",2025-08-17 05:51:02.357474
"15","3","Commensalism",2464,"Medium","Negative",2025-08-17 05:51:02.357474
"15","4","Amensalism",2476,"Medium","Negative",2025-08-17 05:51:02.357474
"15","6","Commensalism",2431,"Medium","Negative",2025-08-17 05:51:02.357474
"1","14","Amensalism",2529,"Strong","Negative",2025-08-17 05:51:02.357474
"2","14","Amensalism",2536,"Strong","Negative",2025-08-17 05:51:02.357474
"3","0","Commensalism",2527,"Strong","Negative",2025-08-17 05:51:02.357474
"3","4","Amensalism",2535,"Strong","Negative",2025-08-17 05:51:02.357474
"7","0","Commensalism",2481,"Strong","Negative",2025-08-17 05:51:02.357474
"7","15","Mutualism",2490,"Strong","Negative",2025-08-17 05:51:02.357474
"7","3","Commensalism",2507,"Strong","Negative",2025-08-17 05:51:02.357474
"7","4","Amensalism",2510,"Strong","Negative",2025-08-17 05:51:02.357474
